지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2002,전국,전체,당뇨병의료이용률,34540978,974429,2.82
2003,전국,전체,당뇨병의료이용률,35265864,1188501,3.37
2004,전국,전체,당뇨병의료이용률,35907983,1315438,3.66
2005,전국,전체,당뇨병의료이용률,36342696,1586549,4.37
2006,전국,전체,당뇨병의료이용률,36746505,1756085,4.78
2007,전국,전체,당뇨병의료이용률,37244444,1900709,5.1
2008,전국,전체,당뇨병의료이용률,37619878,2043223,5.43
2009,전국,전체,당뇨병의료이용률,38072328,2202981,5.79
2010,전국,전체,당뇨병의료이용률,37874639,2312527,6.11
2011,전국,전체,당뇨병의료이용률,38400966,2475496,6.45
2012,전국,전체,당뇨병의료이용률,38940716,2615192,6.72
2013,전국,전체,당뇨병의료이용률,39423832,2750189,6.98
2014,전국,전체,당뇨병의료이용률,40356958,2908007,7.21
2015,전국,전체,당뇨병의료이용률,40912439,3054196,7.47
2016,전국,전체,당뇨병의료이용률,41438003,3255186,7.86
2017,전국,전체,당뇨병의료이용률,41907514,3464636,8.27
2018,전국,전체,당뇨병의료이용률,42328632,3677421,8.69
2019,전국,전체,당뇨병의료이용률,42856956,3922638,9.15
2020,전국,전체,당뇨병의료이용률,42070389,4090295,9.72
2002,서울특별시,전체,당뇨병의료이용률,8490036,235149,2.77
2002,부산광역시,전체,당뇨병의료이용률,2687131,71666,2.67
2002,대구광역시,전체,당뇨병의료이용률,1743227,48413,2.78
2002,인천광역시,전체,당뇨병의료이용률,1748292,50237,2.87
2002,광주광역시,전체,당뇨병의료이용률,887539,25475,2.87
2002,대전광역시,전체,당뇨병의료이용률,921648,27720,3.01
2002,울산광역시,전체,당뇨병의료이용률,718176,17212,2.4
2002,경기도,전체,당뇨병의료이용률,6201516,179818,2.9
2002,강원도,전체,당뇨병의료이용률,1093589,33251,3.04
2002,충청북도,전체,당뇨병의료이용률,1037957,30784,2.97
2002,충청남도,전체,당뇨병의료이용률,1397141,42267,3.03
2002,전라북도,전체,당뇨병의료이용률,1379261,42973,3.12
2002,전라남도,전체,당뇨병의료이용률,1559388,49717,3.19
2002,경상북도,전체,당뇨병의료이용률,2074804,56454,2.72
2002,경상남도,전체,당뇨병의료이용률,2217543,55862,2.52
2002,제주도,전체,당뇨병의료이용률,383730,7431,1.94
2003,서울특별시,전체,당뇨병의료이용률,8255924,275234,3.33
2003,부산광역시,전체,당뇨병의료이용률,2731572,89874,3.29
2003,대구광역시,전체,당뇨병의료이용률,1785849,58915,3.3
2003,인천광역시,전체,당뇨병의료이용률,1820094,59754,3.28
2003,광주광역시,전체,당뇨병의료이용률,922525,29804,3.23
2003,대전광역시,전체,당뇨병의료이용률,958254,33669,3.51
2003,울산광역시,전체,당뇨병의료이용률,743470,21207,2.85
2003,경기도,전체,당뇨병의료이용률,6774924,230664,3.4
2003,강원도,전체,당뇨병의료이용률,1108451,41535,3.75
2003,충청북도,전체,당뇨병의료이용률,1053909,37574,3.57
2003,충청남도,전체,당뇨병의료이용률,1402160,50555,3.61
2003,전라북도,전체,당뇨병의료이용률,1390573,51354,3.69
2003,전라남도,전체,당뇨병의료이용률,1556310,58572,3.76
2003,경상북도,전체,당뇨병의료이용률,2090997,71030,3.4
2003,경상남도,전체,당뇨병의료이용률,2276876,69176,3.04
2003,제주도,전체,당뇨병의료이용률,393976,9584,2.43
2004,서울특별시,전체,당뇨병의료이용률,7847553,283185,3.61
2004,부산광역시,전체,당뇨병의료이용률,2825949,104534,3.7
2004,대구광역시,전체,당뇨병의료이용률,1871278,66240,3.54
2004,인천광역시,전체,당뇨병의료이용률,1871023,66239,3.54
2004,광주광역시,전체,당뇨병의료이용률,991305,34091,3.44
2004,대전광역시,전체,당뇨병의료이용률,1030618,37566,3.64
2004,울산광역시,전체,당뇨병의료이용률,762037,22713,2.98
2004,경기도,전체,당뇨병의료이용률,7343214,266701,3.63
2004,강원도,전체,당뇨병의료이용률,1116077,45692,4.09
